code_set,code_description
A00-B99,Infectious and parasitic diseases
C00-D49,Neoplasms
D50-D89,"Blood and blood-forming organs, and immune disorders"
E00-E89,"Endocrine, nutritional, and metabolic diseases"
F01-F99,"Mental, behavioral, and neurodevelopmental disorders"
G00-G99,Nervous system diseases
H00-H59,Eye and adnexa diseases
H60-H95,Ear and mastoid process diseases
I00-I99,Circulatory system diseases
J00-J99,Respiratory system diseases
K00-K95,Digestive system diseases
L00-L99, Diseases of the skin and subcutaneous tissue
M00-M99, Diseases of the musculoskeletal system and connective tissue
N00-N99, Diseases of the genitourinary system
O00-O9A,"Pregnancy, childbirth and the puerperium"
P00-P96,Certain conditions originating in the perinatal period
Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities"
R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
S00-T88,"Injury, poisoning and certain other consequences of external causes"
U00-U85,"Codes for special purposes"
V00-Y99,External causes of morbidity
Z00-Z99,Factors influencing health status and contact with health services
