Year,Country Code,Country Name,Sex,Pop: All Ages,Pop: 0-1 Years,Pop: 1-24 Years,Pop: 25-44 Years,Pop: 45-69 Years,Pop: 70-95+ Years,Pop: Age Not Specified,Age Format,Pop: Smoketest All Ages
2009,1520,Tunisia,1 - Male,5400996.0,95789.71573,2684360.2843,1048209.0,664435.0,58961.0,0.0,2,5400996.00003
2009,1520,Tunisia,2 - Female,5470013.0,88492.28427,2576161.7157,1157790.0,702202.0,62026.0,0.0,2,5470012.99997
1979,2070,Brazil,1 - Male,59237900.0,1275200.0,38636600.0,8224800.0,4446200.0,272700.0,0.0,2,59237900.0
1979,2070,Brazil,2 - Female,59307200.0,1240100.0,38355000.0,8238500.0,4678800.0,332300.0,0.0,2,59307200.0
1980,2070,Brazil,1 - Male,60607600.0,1313400.0,39521200.0,8415000.0,4549000.0,279000.0,0.0,2,60607600.0
1980,2070,Brazil,2 - Female,60678600.0,1276500.0,39234100.0,8429000.0,4787000.0,340000.0,0.0,2,60678600.0
1981,2070,Brazil,1 - Male,61998400.0,1368600.0,40403100.0,8608100.0,4653300.0,285400.0,0.0,2,61998400.0
1981,2070,Brazil,2 - Female,62071100.0,1324500.0,40115800.0,8622400.0,4896800.0,347800.0,0.0,2,62071100.0
1982,2070,Brazil,1 - Male,63410200.0,1424300.0,41298500.0,8804200.0,4759300.0,291900.0,0.0,2,63410200.0
1982,2070,Brazil,2 - Female,63484300.0,1385400.0,40998400.0,8818700.0,5008300.0,355700.0,0.0,2,63484300.0
1983,2070,Brazil,1 - Male,64705300.0,1297300.0,41277300.0,9319400.0,5135000.0,340800.0,0.0,2,64705300.0
1983,2070,Brazil,2 - Female,65050800.0,1259900.0,41027000.0,9467900.0,5408000.0,415000.0,0.0,2,65050800.0
1984,2070,Brazil,1 - Male,66147200.0,1220300.0,42303000.0,9527000.0,5249500.0,348400.0,0.0,2,66147200.0
